word,phonetic_alterntive
posture,paascher
duped,duwpt
diet,dayaht
fraud,fraod
galleries,gaeleriyz
dinnertime,dihnertaym
personally,persahnahliy
raise,reyz
discount,dihskawnt
swim,swihm
astronaut,aestrahnaat
thickened,thihkahnd
tile,tayl
stronger,straonger
description,dihskrihpshahn
them,dhehm
dating,deytihng
awarded,ahwaordahd
arrogant,ehrahgahnt
journey,jherniy
negligence,nehglahjhahns
surface,serfahs
next,nehkst
convivial,kahnvihviyahl
image,ihmahjh
amateur,aemahter
unmanned,ahnmaend
skeptical,skehptahkahl
imitate,ihmahteyt
appear,ahpihr
goofy,guwfiy
amusement,ahmyuwzmahnt
contents,kaantehnts
pretending,priytehndihng
orwell,aorwehl
summer,sahmer
stung,stahng
mortgaging,maorgihjhihng
thinner,thihner
his,hhihz
deer,dihr
bulb,bahlb
putting,pahtihng
comrades,kaamraedz
drinks,drihngks
display,dihspley
comics,kaamihks
nephew,nehfyuw
shining,shaynihng
teacher,tiycher
political,pahlihtahkahl
binoculars,bahnaakyahlerz
overdue,owverduw
dancing,daensihng
knock,naak
blinded,blayndihd
wine,wayn
physical,fihzihkahl
theocratic,thiyahkraetihk
secretary,sehkrahtehriy
fm,ehfehm
kosovo,kowsowvow
option,aapshahn
spiders,spayderz
forgets,fergehts
confidential,kaanfahdehnshahl
jerk,jherk
countryside,kahntriysayd
treated,triytahd
hilton,hhihltahn
wall,waol
supports,sahpaorts
fourteen,faortiyn
caught,kaat
tempting,tehmptihng
operas,aaprahz
liar,layer
chairperson,chehrpersahn
business,bihznahs
bicycles,baysihkahlz
blocking,blaakihng
tax,taeks
chair,chehr
disapproved,dihsahpruwvd
million,mihlyahn
mumbling,mahmbahlihng
raw,raa
pork,paork
dialect,dayahlehkt
scotland,skaatlahnd
john,jhaan
sees,siyz
steiner,stayner
process,praasehs
biscuit,bihskaht
need,niyd
boyfriend,boyfrehnd
hates,hheyts
audience,aadiyahns
mary,mehriy
lockdown,laakdawn
both,bowth
posting,powstihng
rain,reyn
stranger,streynjher
unfazed,ahnfeyzd
succeeded,sahksiydahd
psychologist,saykaalahjhahst
frustration,frahstreyshahn
reggae,rehgey
cherish,chehrihsh
represented,rehprahzehntahd
burden,berdahn
saxophone,saeksahfown
poet,powaht
mysterious,mihstihriyahs
poodle,puwdahl
beating,biytihng
establishment,ihstaeblihshmahnt
groans,grownz
tips,tihps
photo,fowtow
others,ahdherz
am,aem
tuba,tuwbah
recommend,rehkahmehnd
nightingale,naytihnggeyl
engrossed,ihngrowst
wake,weyk
adorn,ahdaorn
cohen,kowahn
based,beyst
amused,ahmyuwzd
lest,lehst
chess,chehs
sentence,sehntahns
questioning,kwehschahnihng
stunned,stahnd
decades,dehkeydz
admissible,ahdmihsahbahl
a.m.,aem
lovely,lahvliy
gun,gahn
print,prihnt
el,ehl
atomic,ahtaamihk
flying,flayihng
rotating,rowteytihng
prefer,prahfer
meters,miyterz
bribes,braybz
volleyball,vaaliybaol
gnaw,nao
would,wuhd
individual,ihndahvihjhahwahl
strengths,strehngkths
new,nuw
respects,rihspehkts
fooled,fuwld
raft,raeft
freezer,friyzer
dualistic,duwahlihstihk
arm,aarm
approached,ahprowcht
greece,griys
football,fuhtbaol
chewing,chuwihng
network,nehtwerk
cracks,kraeks
scallion,skaelyahn
grandchild,graendchayld
fifth,fihfth
deafening,dehfahnihng
ac,eysiy
skills,skihlz
approval,ahpruwvahl
honey,hhahniy
choir,kwayer
aluminum,ahluwmahnahm
manners,maenerz
my,may
world,werld
sharpened,shaarpahnd
turns,ternz
bubbles,bahbahlz
subject,sahbjhehkt
atmosphere,aetmahsfihr
bug,bahg
article,aartahkahl
alphabetical,aelfahbehtihkahl
reconnected,riykahnehktihd
attorney,ahterniy
yoko,yowkow
narrow,nehrow
chief,chiyf
millet,mihlaht
bazaar,bahzaar
shaffer,sheyfer
stout,stawt
picture,pihkcher
colleagues,kaaliygz
arts,aarts
survived,servayvd
pepsi,pehpsiy
moses,mowzahs
gladly,glaedliy
possessed,pahzehst
tree,triy
current,kerahnt
survival,servayvahl
erosion,ihrowzhahn
pigeon,pihjhahn
unloading,ahnlowdihng
searched,sercht
wasters,weysterz
igor,ihgaor
revenues,rehvahnuwz
rejoice,rihjhoys
barefoot,behrfuht
true,truw
licking,lihkihng
paintings,peyntihngz
wars,waorz
dots,daats
justice,jhahstahs
planet,plaenaht
regard,rahgaard
trail,treyl
resuscitate,rihsahsihteyt
principal,prihnsahpahl
virgil,verjhahl
international,ihnternaeshahnahl
dreams,driymz
statue,staechuw
truman,truwmahn
conscience,kaanshahns
heights,hhayts
blinds,blayndz
colder,kowlder
noises,noyzihz
cold,kowld
buried,behriyd
bank,baengk
prostrate,praastreyt
blind,blaynd
distances,dihstahnsahz
tricks,trihks
hedgehogs,hhehjhhhaagz
descent,dihsehnt
friendly,frehndliy
masked,maeskt
quite,kwayt
cared,kehrd
knees,niyz
trial,trayahl
tour,tuhr
sea,siy
apologize,ahpaalahjhayz
laughing,laefihng
centerpiece,sehnterpiys
fluent,fluwahnt
counter,kawnter
corruption,kerahpshahn
romance,rowmaens
contest,kaantehst
rule,ruwl
pocket,paakaht
imports,ihmpaorts
permitting,permihtihng
ring,rihng
rules,ruwlz
presence,prehzahns
awesome,aasahm
threat,threht
settle,sehtahl
sire,sayer
vitamins,vaytahmahnz
scholars,skaalerz
centre,sehnter
programmer,prowgraemer
tram,traem
more,maor
cassandra,kahsaendrah
shaken,sheykahn
remus,riymahs
underestimated,ahnderehstahmeytihd
opined,owpaynd
robbery,raaberiy
amounts,ahmawnts
granddaughter,graendaoter
anecdotes,aenahkdowts
ill,ihl
israel,ihzriyahl
possesses,pahzehsahz
gruff,grahf
familiar,fahmihlyer
karl,kaarl
relocating,riylowkeytihng
license,laysahns
fall,faol
cities,sihtiyz
fierce,fihrs
heavier,hhehviyer
bald,baold
murderer,merderer
racks,raeks
bits,bihts
slow,slow
europe,yuhrahp
myself,maysehlf
was,waaz
bowl,bowl
selling,sehlihng
hearing,hhiyrihng
national,naeshahnahl
fit,fiht
valentine,vaelahntayn
turks,terks
name,neym
orthography,aorthaagrahfiy
chose,chowz
encourage,ehnkerihjh
discs,dihsks
problematic,praablahmaetihk
valuable,vaelyahbahl
further,ferdher
custody,kahstahdiy
optimistic,aaptahmihstihk
share,shehr
separation,sehpereyshahn
friendships,frehndshihps
invisible,ihnvihzahbahl
funds,fahndz
comments,kaamehnts
teenage,tiyneyjh
lives,lihvz
pitchfork,pihchfaork
chorus,kaorahs
rocks,raaks
midst,mihdst
refused,rahfyuwzd
colds,kowldz
paycheck,peychehk
kiss,kihs
eggs,ehgz
worthless,werthlahs
books,buhks
stars,staarz
bike,bayk
measurable,mehzherahbahl
strike,strayk
initial,ihnihshahl
met,meht
businesses,bihznahsahz
record,rahkaord
approach,ahprowch
abolish,ahbaalihsh
uneasy,ahniyziy
existing,ihgzihstihng
pressed,prehst
entrance,ehntrahns
van,vaen
climbing,klaymihng
andy,aendiy
chicks,chihks
ali,aaliy
telephones,tehlahfownz
distracted,dihstraektahd
bleachers,bliycherz
blood,blahd
arable,ehrahbahl
beginner,bihgihner
midterm,mihdterm
plays,pleyz
virginia,verjhihnyah
studies,stahdiyz
swallowed,swaalowd
nutrient,nuwtriyahnt
shadow,shaedow
klingon,klihnggahn
hyena,hhayiynah
mommy,maamiy
wondering,wahnderihng
curious,kyuhriyahs
elder,ehlder
me,miy
germans,jhermahnz
stops,staaps
freshly,frehshliy
squeezed,skwiyzd
dismissed,dihsmihst
worse,wers
hotel,hhowtehl
super,suwper
seem,siym
dawned,daond
skepticism,skehptihsihzahm
storage,staorahjh
sunglasses,sahnglaesihz
richest,rihchahst
earliest,erliyahst
explained,ihkspleynd
prepare,priypehr
board,baord
bakery,beykeriy
exit,ehgziht
violin,vayahlihn
carpet,kaarpaht
telling,tehlihng
wildlife,wayldlayf
around,erawnd
chuck,chahk
mortals,maortahlz
sinus,saynahs
pear,pehr
audiovisual,aodiyowvihzhuwahl
historical,hhihstaorihkahl
tower,tawer
quick,kwihk
performing,perfaormihng
assistance,ahsihstahns
passing,paesihng
transfer,traensfer
programs,prowgraemz
convinced,kahnvihnst
transformed,traensfaormd
inappropriate,ihnahprowpriyiht
gift,gihft
fishy,fihshiy
spontaneous,spaanteyniyahs
businessman,bihznahsmaen
we,wiy
populated,paapyahleytahd
scared,skehrd
lowered,lowerd
austria,aostriyah
bluegrass,bluwgraes
novel,naavahl
sat,saet
mt.,mawnt
ukrainian,yuwkreyniyahn
skillful,skihlfahl
shaped,sheypt
represents,rehprahzehnts
differences,dihferahnsihz
impatient,ihmpeyshahnt
vowels,vawahlz
girlfriend,gerlfrehnd
appearance,ahpihrahns
laundry,laondriy
helping,hhehlpihng
stamped,staempt
problem,praablahm
spacecraft,speyskraeft
kangaroo,kaenggeruw
catfish,kaetfihsh
tinder,tihnder
expert,ehkspert
gorgeous,gaorjhahs
vacuum,vaekyuwm
immutable,ihmyuwtahbahl
director,derehkter
misfortune,mihsfaorchahn
boredom,baordahm
faith,feyth
data,deytah
roared,raord
gives,gihvz
party,paartiy
tarzan,taarzaen
chest,chehst
card,kaard
slam,slaem
not,naat
track,traek
living,lihvihng
pieces,piysahz
ordered,aorderd
soldiers,sowljherz
farmer,faarmer
hunts,hhahnts
hand,hhaend
stories,staoriyz
occurred,ahkerd
perseverance,persahvihrahns
cringed,krihnjhd
retirement,riytayermahnt
convince,kahnvihns
handled,hhaendahld
pale,peyl
tear,tehr
proposed,prahpowzd
gloomy,gluwmiy
cropping,kraapihng
morgue,maorg
cycle,saykahl
bar,baar
kicked,kihkt
lawyers,laoyerz
raccoons,raekuwnz
embedded,ehmbehdihd
silver,sihlver
weaknesses,wiyknahsahz
describing,dihskraybihng
faded,feydahd
destroyed,dihstroyd
binary,bayneriy
listening,lihsahnihng
eminent,ehmahnahnt
lied,layd
connection,kahnehkshahn
borrowed,baarowd
gray,grey
stick,stihk
sister,sihster
currency,kerahnsiy
historically,hhihstaorihkahliy
act,aekt
shirts,sherts
honduras,hhaanduhrahs
arabic,aerahbihk
universe,yuwnahvers
flips,flihps
surround,serawnd
louder,lawder
wary,wehriy
endeavors,ihndehverz
saving,seyvihng
salts,saolts
worry,weriy
sentiments,sehntahmahnts
baptist,baeptahst
barrier,baeriyer
smarter,smaarter
solution,sahluwshahn
traditional,trahdihshahnahl
just,jhahst
claus,klaoz
earthquake,erthkweyk
divorce,dihvaors
millie,mihliy
showers,shawerz
observatory,ahbzervahtaoriy
thou,dhaw
increasing,ihnkriysihng
cafe,kahfey
treating,triytihng
laced,leyst
emotion,ihmowshahn
patience,peyshahns
anxiously,aengkshahsliy
too,tuw
freshman,frehshmahn
expense,ihkspehns
inspecting,ihnspehktihng
arrived,erayvd
information,ihnfermeyshahn
file,fayl
mustard,mahsterd
measles,miyzahlz
watered,waoterd
really,rihliy
brine,brayn
called,kaold
opens,owpahnz
mural,myuhrahl
doctors,daakterz
sovereign,saavrahn
youth,yuwth
instrument,ihnstrahmahnt
bella,behlah
requires,riykwayerz
is,ihz
dancer,daenser
transported,traenspaortahd
entered,ehnterd
constantly,kaanstahntliy
iranian,ihraaniyahn
millionaires,mihlyahnehrz
cheek,chiyk
reform,rahfaorm
nonchalantly,naanshahlaantliy
scam,skaem
chambers,cheymberz
areas,ehriyahz
than,dhaen
dan,daen
breakdown,breykdawn
obon,owbahn
susan,suwzahn
soccer,saaker
corner,kaorner
happened,hhaepahnd
brief,briyf
swinging,swihngihng
thirsty,therstiy
concealment,kahnsiylmahnt
cigarettes,sihgerehts
hid,hhihd
fishermen,fihshermihn
dances,daensahz
picky,pihkiy
yourselves,yuhrsehlvz
jetting,jhehtihng
cover,kahver
racists,reysihsts
swam,swaem
glittering,glihterihng
repair,rihpehr
singer,sihnger
leaving,liyvihng
strong,straong
baskets,baeskahts
polygraph,paalihgraef
sailors,seylerz
steamboat,stiymbowt
shop,shaap
character,kehrihkter
january,jhaenyuwehriy
twinkled,twihngkahld
foliage,fowlihjh
plans,plaenz
through,thruw
idea,aydiyah
bridge,brihjh
persuasive,persweysihv
invites,ihnvayts
compelled,kahmpehld
apologies,ahpaalahjhiyz
loan,lown
conclusion,kahnkluwzhahn
robbers,raaberz
delay,dihley
remember,rihmehmber
serve,serv
tough,tahf
wolves,wuhlvz
ropes,rowps
imaginary,ihmaejhahnehriy
islam,ihslaam
shopping,shaapihng
brushed,brahsht
already,aolrehdiy
murders,merderz
same,seym
loose,luws
kimonos,kahmownahz
wheelbarrow,wiylbehrow
excel,ihksehl
numb,nahm
wide,wayd
participated,paartihsahpeytahd
tag,taeg
locked,laakt
zephyr,zehfer
missing,mihsihng
hours,awerz
towering,tawerihng
doll,daal
scarce,skehrs
graduation,graejhuweyshahn
equipment,ihkwihpmahnt
devastated,dehvahsteytahd
junior,jhuwnyer
every,ehveriy
science,sayahns
experience,ihkspihriyahns
bruises,bruwzahz
horses,hhaorsahz
later,leyter
concerts,kaanserts
p.m.,piyehm
pure,pyuhr
dictionary,dihkshahnehriy
confident,kaanfahdahnt
hole,hhowl
harvard,hhaarverd
trader,treyder
anemia,ahniymiyah
favor,feyver
attends,ahtehndz
sip,sihp
population,paapyahleyshahn
custom,kahstahm
grandparents,graendpehrahnts
cursing,kersihng
ontario,aantehriyow
fridge,frihjh
sizes,sayzahz
campaigns,kaempeynz
revealed,rihviyld
slovenian,slowviyniyahn
ascended,ahsehndahd
cheated,chiytahd
roars,raorz
ugly,ahgliy
purpose,perpahs
greco,grehkow
fails,feylz
civilized,sihvahlayzd
fifteen,fihftiyn
spectacular,spehktaekyahler
spilled,spihld
gory,gaoriy
hide,hhayd
random,raendahm
miserable,mihzerahbahl
ability,ahbihlahtiy
gorillas,gerihlahz
allies,aelayz
ivy,ayviy
substance,sahbstahns
stephen,stiyvahn
greenhouse,griynhhaws
perished,pehrihsht
communication,kahmyuwnahkeyshahn
fresh,frehsh
hundreds,hhahndrahdz
usa,yuwehsey
ceremony,sehrahmowniy
granule,graenyahl
thursdays,therzdeyz
countries,kahntriyz
onto,aantuw
fruit,fruwt
kid,kihd
real,riyl
revolves,riyvaalvz
clashes,klaeshihz
boy,boy
sighed,sayd
glove,glahv
martial,maarshahl
lithuanian,lihthahweyniyahn
firmly,fermliy
whilst,waylst
flabbergasted,flaebergaestihd
execute,ehksahkyuwt
shoes,shuwz
received,rahsiyvd
absentee,aebsahntiy
bothered,baadherd
treaters,triyterz
treat,triyt
being,biyihng
whites,wayts
tyrant,tayrahnt
slower,slower
less,lehs
pounding,pawndihng
single,sihnggahl
leaders,liyderz
whale,weyl
forever,ferehver
silence,saylahns
harms,hhaarmz
dryer,drayer
employee,ehmployiy
vatican,vaetihkahn
heck,hhehk
special,spehshahl
older,owlder
done,dahn
royce,roys
spent,spehnt
motorcycle,mowtersaykahl
kinda,kihndah
rude,ruwd
bananas,bahnaenahz
ski,skiy
agreement,ahgriymahnt
frank,fraengk
concerned,kahnsernd
realistic,riyahlihstihk
martino,maartiynow
abductions,aebdahkshahnz
husband,hhahzbahnd
unmoved,ahnmuwvd
expounding,ihkspawndihng
memorizing,mehmerayzihng
microbiology,maykrowbayaalahjhiy
bundle,bahndahl
preserve,prahzerv
annoying,ahnoyihng
glass,glaes
flooded,flahdahd
sailing,seylihng
catching,kaechihng
doubts,dawts
shoot,shuwt
healed,hhiyld
resin,rehzahn
yitzhak,yihtsaak
school,skuwl
charge,chaarjh
pipe,payp
innovation,ihnahveyshahn
machines,mahshiynz
balanced,baelahnst
detail,dihteyl
feeling,fiylihng
tasted,teystahd
shrugged,shrahgd
study,stahdiy
towers,tawerz
verify,vehrahfay
provinces,praavahnsahz
misread,mihsriyd
denmark,dehnmaark
lady,leydiy
head,hhehd
journal,jhernahl
campus,kaempahs
date,deyt
experiences,ihkspihriyahnsihz
medicines,mehdahsahnz
normal,naormahl
projected,prahjhehktahd
react,riyaekt
setting,sehtihng
handwriting,hhaendraytihng
originally,erihjhahnahliy
holding,hhowldihng
plate,pleyt
trucker,trahker
points,poynts
pretend,priytehnd
nationalism,naeshahnahlihzahm
fortunately,faorchahnahtliy
lag,laeg
management,maenahjhmahnt
granted,graentahd
julia,jhuwlyah
use,yuws
involuntarily,ihnvowlahnterihliy
object,aabjhehkt
mistook,mihstuhk
bankruptcy,baengkrahpsiy
marble,maarbahl
place,pleys
known,nown
to,tuw
sweetness,swiytnahs
fitness,fihtnahs
lawyer,laoyer
skill,skihl
rarely,rehrliy
strategic,strahtiyjhihk
australia,aostreylyah
live,layv
cautious,kaoshahs
table,teybahl
unemployed,ahnehmployd
hastening,hheysahnihng
rink,rihngk
fields,fiyldz
context,kaantehkst
five,fayv
toxic,taaksihk
suave,swaav
knowledge,naalahjh
grab,graeb
private,prayvaht
stays,steyz
birth,berth
create,kriyeyt
minus,maynahs
overproduction,owverprahdahkshahn
concentrated,kaansahntreytahd
detectives,dihtehktihvz
comfortable,kahmfertahbahl
wisdom,wihzdahm
acclimated,aeklahmeytihd
songwriting,saongraytihng
operate,aapereyt
accomplished,ahkaamplihsht
aboriginal,aeberihjhahnahl
quantity,kwaantahtiy
fighter,fayter
eater,iyter
daughters,daoterz
nerve,nerv
stay,stey
lame,leym
hunch,hhahnch
unveiled,ahnveyld
looking,luhkihng
ladies,leydiyz
talented,taelahntahd
behaves,bihhheyvz
continued,kahntihnyuwd
finest,faynahst
a,ah
basketball,baeskahtbaol
weapon,wehpahn
partying,paartiyihng
journalists,jhernahlahsts
desk,dehsk
grouchy,grawchiy
star,staar
enemies,ehnahmiyz
chosen,chowzahn
sunny,sahniy
freak,friyk
hands,hhaendz
judge,jhahjh
deleted,dihliytahd
march,maarch
october,aaktowber
theorem,thihrahm
tired,tayerd
instant,ihnstahnt
denying,dihnayihng
liberation,lihbereyshahn
disagreed,dihsahgriyd
shizuoka,shiyzwowkah
managed,maenahjhd
excuses,ihkskyuwsihz
rising,rayzihng
detonated,dehtahneytahd
bible,baybahl
instead,ihnstehd
persuaded,persweydahd
dizzy,dihziy
laser,leyzer
story,staoriy
oil,oyl
totally,towtahliy
various,vehriyahs
flag,flaeg
mermaid,mermeyd
needless,niydlahs
everybody,ehvriybaadiy
sure,shuhr
cell,sehl
philippine,fihlahpiyn
reads,riydz
doughnut,downaht
criminal,krihmahnahl
waterways,waoterweyz
fact,faekt
carbonated,kaarbahneytahd
bare,behr
urine,yerahn
sensitive,sehnsahtihv
russian,rahshahn
laws,laoz
anxious,aengkshahs
dishwasher,dihshwaasher
decisions,dihsihzhahnz
toffee,taafiy
waitress,weytrahs
task,taesk
arguing,aargyuwihng
eaten,iytahn
entitled,ehntaytahld
javascript,jhaavahskrihpt
hypothesis,hhaypaathahsahs
tolerate,taalereyt
hebrew,hhiybruw
capital,kaepahtahl
round,rawnd
negligible,nehglahjhahbahl
victims,vihktahmz
poverty,paavertiy
trusted,trahstihd
fixed,fihkst
survivors,servayverz
prospect,praaspehkt
swirling,swerlihng
keep,kiyp
invalid,ihnvahlahd
refrigerator,rahfrihjhereyter
dark,daark
nature,neycher
view,vyuw
underwear,ahnderwehr
author,aother
rooting,ruwtihng
automotive,aotahmowtihv
days,deyz
protagonist,prowtaegahnahst
relieved,rihliyvd
milk,mihlk
notify,nowtahfay
thread,threhd
these,dhiyz
catastrophic,kaetahstraafihk
provides,prahvaydz
sewing,sowihng
risking,rihskihng
pair,pehr
streamer,striymer
sometimes,sahmtaymz
defeat,dihfiyt
wartime,waortaym
enlarge,ehnlaarjh
nor,naor
player,pleyer
speaking,spiykihng
mirror,mihrer
warmth,waormth
see,siy
helps,hhehlps
hideout,hhaydawt
asleep,ahsliyp
pantry,paentriy
pattern,paetern
operating,aapereytihng
brightness,braytnahs
easy,iyziy
servants,servahnts
sank,saengk
archipelago,aarkahpehlahgow
puts,puhts
backyard,baekyaard
meat,miyt
moves,muwvz
danger,deynjher
office,aofahs
performance,perfaormahns
excellent,ehksahlahnt
easter,iyster
influential,ihnfluwehnchahl
princess,prihnsehs
restaurant,rehsteraant
camper,kaemper
siblings,sihblihngz
angry,aenggriy
might,mayt
slope,slowp
ours,awerz
limo,lihmow
puzzle,pahzahl
similarities,sihmahlehrahtiyz
tell,tehl
oregon,aorahgahn
diana,dayaenah
withdrawn,wihthdraon
woods,wuhdz
ears,ihrz
mailbox,meylbaaks
bookshelves,buhkshehlvz
calculations,kaelkyahleyshahnz
signs,saynz
windmills,wihndmihlz
multiple,mahltahpahl
tablets,taeblahts
decade,dehkeyd
exposure,ihkspowzher
moved,muwvd
cabin,kaebahn
warned,waornd
coping,kowpihng
seoul,sowl
purse,pers
adamant,aedahmahnt
miracle,mihrahkahl
want,waant
lead,lehd
carrots,kaerahts
adversity,aedversihtiy
rodrigo,rahdriygow
nicaraguan,nihkeraagwahn
mud,mahd
aeronautics,ehrahnaotihks
infection,ihnfehkshahn
probe,prowb
lights,layts
luggage,lahgahjh
brazilian,brahzihlyahn
bronze,braanz
vision,vihzhahn
cape,keyp
henry,hhehnriy
disregard,dihsrihgaard
institution,ihnstihtuwshahn
owns,ownz
opposed,ahpowzd
adriano,aadriyaanow
economic,ehkahnaamihk
elephants,ehlahfahnts
dung,dahng
tent,tehnt
drop,draap
formula,faormyahlah
gallons,gaelahnz
when,wehn
diplomatic,dihplahmaetihk
missed,mihst
footstep,fuhtstehp
empire,ehmpayer
wrecks,rehks
taiwanese,taywaaniyz
himself,hhihmsehlf
gloom,gluwm
clung,klahng
walid,waaliyd
crisp,krihsp
skated,skeytihd
shaky,sheykiy
limping,lihmpihng
sewers,suwerz
spills,spihlz
front,frahnt
held,hhehld
hispanic,hhihspaenihk
boost,buwst
reaches,riychahz
undue,ahnduw
unfathomable,ahnfaedhahmahbahl
vultures,vahlcherz
win,wihn
stumbled,stahmbahld
psyched,saykt
lamp,laemp
script,skrihpt
wasteful,weystfahl
vampires,vaempayrz
braved,breyvd
toothbrush,tuwthbrahsh
steady,stehdiy
computer,kahmpyuwter
sunset,sahnseht
stroke,strowk
are,aar
gesture,jhehscher
named,neymd
admits,ahdmihts
concentrate,kaansahntreyt
decoded,dihkowdahd
sculpture,skahlpcher
fishing,fihshihng
rang,raeng
stingy,stihnjhiy
territorial,tehrihtaoriyahl
wildly,wayldliy
adding,aedihng
tamara,tahmaarah
wishes,wihshihz
julius,jhuwlyahs
delivered,dihlihverd
thus,dhahs
thumb,thahm
examples,ihgzaempahlz
force,faors
magnet,maegnaht
understand,ahnderstaend
separate,sehpereyt
capita,kaepihtah
loves,lahvz
control,kahntrowl
tons,tahnz
craving,kreyvihng
deadpan,dehdpaen
apprehensive,aeprihhhehnsihv
announce,ahnawns
south,sawth
decided,dihsaydihd
central,sehntrahl
advantage,aedvaentihjh
flee,fliy
psychiatrist,sahkayahtrahst
sector,sehkter
webs,wehbz
depression,dihprehshahn
besides,bihsaydz
omission,owmihshahn
snoring,snaorihng
launch,laonch
chafing,cheyfihng
fined,faynd
tilted,tihltahd
subjects,sahbjhihkts
melting,mehltihng
succeeding,sahksiydihng
describe,dihskrayb
leave,liyv
victim,vihktahm
materials,mahtihriyahlz
sound,sawnd
mist,mihst
yours,yuhrz
destiny,dehstahniy
web,wehb
operator,aapereyter
drank,draengk
rock,raak
rubber,rahber
farm,faarm
diego,diyeygow
statement,steytmahnt
kilometers,kahlaamahterz
wasting,weystihng
brown,brawn
swiss,swihs
cheating,chiytihng
concern,kahnsern
munch,mahnch
servers,serverz
moving,muwvihng
corporal,kaorperahl
belgium,behljhahm
complex,kaamplehks
thank,thaengk
eventually,ihvehnchahwahliy
say,sey
afterwards,aefterwerdz
creator,kriyeyter
shared,shehrd
trauma,traomah
tension,tehnshahn
washroom,waashruwm
ria,riyah
trap,traep
cheer,chihr
animals,aenahmahlz
er,er
secularism,sehkyahlerihzahm
spiritual,spihrihchahwahl
rainy,reyniy
phrase,freyz
sandra,saendrah
signaled,sihgnahld
buzzing,bahzihng
jeans,jhiynz
nine,nayn
do,duw
tonight,tahnayt
punctual,pahngkchuwahl
curiosity,kyuhriyaasahtiy
forged,faorjhd
answer,aenser
rehab,riyhhaeb
investigators,ihnvehstahgeyterz
valued,vaelyuwd
favorite,feyveriht
thesis,thiysahs
church,cherch
grips,grihps
bit,biht
fight,fayt
hydrated,hhaydreytahd
plastic,plaestihk
stress,strehs
easiest,iyziyahst
reload,riylowd
sibling,sihblihng
skin,skihn
session,sehshahn
decides,dihsaydz
travellers,traevahlerz
factory,faekteriy
writer,rayter
arranged,ereynjhd
pushing,puhshihng
sunday,sahndey
prides,praydz
drummer,drahmer
scarf,skaarf
reelection,riyihlehkshahn
shops,shaaps
goals,gowlz
emailed,iymeyld
gained,geynd
vocal,vowkahl
ease,iyz
wears,wehrz
pendulum,pehnjhahlahm
prohibited,prowhhihbahtahd
arose,erowz
tea,tiy
seat,siyt
could,kuhd
intended,ihntehndahd
depth,dehpth
