Sentence,Alternative1,Alternative2,Alternative3
He has to have an operation next week.,astohaveamop er a di on mextweeg  hehas dod age hismet ic,h eh ,atiom
Not everyone likes that book.,modefery one ligest had boog,didyo uriked  hepo ok,id ondhaveas img lepo okt ore ad 
Santiago started pleading with his mother for forgiveness.,santiako sd altedpleadi ngwidhhismo dhe rf orfo lkifeness,zan d i akojo imedl  inainwashimgthetishes,mal y wandshernodhe rsabproval 
I wonder what Tom's reaction is going to be.,iwomd  erw ha t domsre ac dionis goimkd obe,,id oh opet ha tt o misok
Layla switched back to being a regular housewife.,ray lawasde tica teddohelv a mily layla s witc hedpacktopeimka leku la rho u,,sewive
This is Flavio’s responsibility.,thizisvla vio’slesbon sib irity,t omistheonel  esboms ible vorth is mesz,flaviowazhypelvemdil at ing
I've told you a hundred times that I'm not going to that stupid party.,you vebe endoldth ism a nytimes iv et o ldy o ua humdleddin esthati m notgo in kdothats tu,, pidbarty
"As a Muslim, Yanni has to pray several times a day.",rayer a sanuz li myanmih as toplayseve ,h e snu srimandheh astogot ot hefrid ayp, r  art imesaday
I saw Tom stealing apples from one of your trees.,isawt om sde alinkapbre zv  lomoneo fy ourtl ees,to mchobp etd ownt hetle  etha twasimourf  lom tyalt,t omwate r edt hetleehedjusttrams pla mted
Mary poured cold water over Tom's face to wake him up.,arybrea kvast nar yb o ured c oldwa terove ltom  sf acetowakehimup,to mbrought m,maryber atedt om
That made Tom very sick.,mha zbeen a wfur t hatmad e tomvely sick,to,dombe haf edq uitebadly
"Daphnis and Chloe retired to rest, and, wakeful like the owls, kissed and embraced one another all night long.",zan tch roere tireddolesdamdwakefu lrik   ed heowlskiz ze   dantembracedoneamot h erar rn ighd lonk  zir ileamet in an tkissedl imaonhe r,daphm i,cheek zhepl ushetl igecrasy
Tom isn't always busy in the morning.,ton ismdalways pusyin t heno r ming,to mnef er ze emztop eon time,d omwasnd p u syatarl
You'll find a way.,yo u rr vin taway,,goodruckf im dink one
I betrayed Silya.,i pedra yetsilya  shene etszi lya,hemu rde ledsilya,
She was in the room by herself.,zhe wa s inth ero ombyherse rf,shewargedi nd oherr  oom,she warket intoherp  edroom
Tom and Mary told me that they weren't bored., netha   ddheywere ndbo led,d onantnar ytolt,d o na ndnal  ysaidt hattheyweleover whermet
Life without you makes no sense.,lifewidho u tyouna ke zn ozem se,,id toez ndmagea nysems e
Tom is going to need a good lawyer.,tomisg o ingtome ed a  g ootlawyer,d o nwan t stob ealawyer,
Lukas wanted to be more discreet.,r ukazwant edto pem oretiscle  et,ru kasurgetri mado  t othat,
"Tom walked backwards, retracing his steps.",d omwalketb acgwaldzretra cinkhi s  s deps,tomwalge d away unhurt,
Go talk to Tom yourself.,kotalk to tony ou r  zerf,ih afed ot alk d oyouab outt on,
She made it clear that she didn't like him.,ea rdhadzhe  didmtlik  ehin  shene v er toldme shedidm,shem ad ei tcl,tlik ehim
Tom wrote a letter to his brother in Boston.,ea  led dertohisb rot herin bosdon  tommove,domw rot ,dt opostom yezdeltay
Mennad was insecure about his nose.,me mma dwa zinsecureabo uthism o se,,menna dfer tso disrezpected
"At last, he solved the problem.",a tlast he sorfetth eb roplem,hewa zabret osor fedhep  lob lenwit  hease,healrivetr as t
I'm not a pupil., ot apu pil  in,inm,motap ain ter
Tell Tom to stop fooling around.,te lltomtosto bfoorimga  roun d,to mpu t a zdop toit,z coodoveram dn  agelo  omvorton
What's all this crap?,whad sall dhi scrap  wh ata,whadswr omg with t hatone,nawfulme zz
He only cries when he's hungry.,heonr yclies whenhe  shun gly,itsee mst hadth eonl yt imeheis nt eatin gis w hem he ssleeping,he loog edl ik eh ewasgoimgdo cry 
I didn't want you to change your plans.,iditn tw am  tyo uto chamkeyou r  blans,it woul dbe betder ifwetidn t ch amg  eourblams,
Tell me three things you have to do every day.,t erlne dhre e thimgs you h a vetodoev elyday  helesali st,b lea s eterlm ewhaty  o u wamdmetoto, o fthing stha
I'm really insecure.,lealr yimsecure  i rea lryansorly,i m,
He was pinned down by a fallen tree.,mne  dtow nbyav  allemtlee ,h ewasbi,itw asinpozsib let o geti  dd ow nvlon thetree
"When other people point out my mistakes, I blame myself.",ofniztak es when o th e rpeoplep oin tout nym izdakes iblamemyz,it looksl ikeim ate alo t,elf
Tom denies involvement in the bombing.,blo sivezex be rd tomdenies infor venemd i mthep ombimk,mizanex,tomh ascoodiez 
There aren't many people like you.,dh ele a r entmanypeopleli keyou,you rethe one i rige,ifeme fer hadafr iendq uit er ige you
Tom is a skilful card player.,di tcart tomi zaskirfu lcar ,t omgo tacre, dblay el
I want to make you happy.,imha ppyt hatyour eha bby iw an ttom akey  ouhapby,,ims oh app ytohea rfro  myou
My French would likely be much better today if I'd studied with a native speaker.,i dpre ferdotal gim french myf remchw ou l dlikelypemuch   betdertodayifi  dsdud,,i ed wit h a nativesbeakel
I live in Egypt.,ir ive im  egy pd,san ian dlayr ari  veinegypt,
"A case in West Virginia established that acquittal discharges a person from guilt, a pardon only from punishment.",a casei nwesdfirginiaezt ab lis hedthad acquitda rd ischalk ez ape lso nflom guirda baldononlyfr omp u nishnemt,,heclaime dthroug hou tthe  tlialt hadhewas  innocend
Tom was attacked by a grizzly bear.,tdacket p y agli zsr y bear  do msaw ab ear,tomwasa,
Have you ever climbed this tree?,veyouevercri mbedth is  tree  h,ha ,aveyoue fe rpeeno macam ping trib
"Tom is often rude, isn't he?",e nru te isnthe   domi squ ite,tomisof t,o utspokenizn dhe
She's no longer alone.,s hei zndalome anynore she z n olongeral,,one
You wouldn't make a good doctor. Your handwriting is too easy to read., ourdn dn a geagoodtoctory  oulhandwriting iz dooea sy toread,y ouw ,tja valtoesm tknowhowt ow l iteco lrectly
"He made a careless mistake, as is often the case with him.",ea calele ssm ista ke a sis ovt entheca sew ithhin,hen at,he ov  tend robpetimo nme
I'm looking for a French teacher who is a native speaker.,chirdre n i mlooki mgf ora flenc hteach erwhois,ideac hfremchdo, ana divezpeag er 
That isn't what I plan to do.,smt wh  a tiblantodo  t hatisn tdhe om,dh adi ,ry t hingdhatiw ant etdod o
Layla was in bitch mode., asimbi tchmode   ray r am adeagoodch oice,ray raw,
At least you didn't give her any money.,a tlea ztyou tidnd givehe  r anymoney  zhetidn dlem emper topayhel rent,she comb lainetco ntimuarl ythatt herewaz momo ne ylevt,
Turkey imports a lot of gas from Algeria.,reprezentalarg esha leov argeliase com o ny dur keyimportzal od o fgas f romalge ria,impordz,algeriaexpolt sidsnationa lre sou lces
I love the fact that Tom is back in Australia.,ilove thefa ctth adt oni sbac,iwo mterwhent om wi ll pego ingtoa ustr alia,g ima  ustl alia
I really should have known that., lys ho u rdhavegnowmthat,i leal,ignowt ha d ishourtn  tlie
We are baking a delicious cake.,wear ep aki nga deliciouz cake,ledsba kec oogies,wouldamy body li k eamotherp ieceovc age
Mary doesn't speak English.,zem glish marydoesmtzpeag e n grizh,zh esbeak,d omgmewn aryco u rtntspeagfle nch
Tom needs to stay here for now.,tover he relight mow don tomm ee dsdo zta yher eforn ,ge,ow
Tom often spends his spare time reading novels.,donof tem zpe ndz hisspaleti  me read imgnofels,to mu z et doreatal od,
"I wondered to hear her talking of death, when, to all appearance, she seemed as well as we had ever seen her.",iwonte re ttohea lh  erdargimkofdeathwhe ndo arl ab pea la  nceshe  ze  emedaswelr aswehad ev e  rseenhe  l,efe n dh oughz hezintheaft erri f ehel   gh os tabpe arztomeevelynigh timthe bedloon,
Why is it like that?,w h yisitl iketh at,howc ome youapbear edliked  hat,why iz thatrid icurous
Who is Pedro?,oi zpetlo  donwh osdo m,w h,
"Hi Mr Ant, keeping up the good work today as well. Here's a sugar cube.",yan min eedszug ald onake s onev igjan himla nt kee b i ngub theg oo dwork today azwe   rlheresaz ugarc,,upe
"I like you, too.",i ligeyou to  o,you ret h eo neilike,
Ave Maria.,z h esaidd hads hewazm ary a vemaria,,maryi smymoth e linlaw
"Not five minutes after he started running, he tripped on a rock.",mo tfivemin ut esafter hezdal tetrum ning h  ed ribb edonaloc  k,heca neviv emi mutespehindt  heappo imt ettime,
I won't drink that.,tdr in g i wontdlin,m othamksiton, g that
We love going on picnics., el ovego imgonpi cnicz  wetoo katvam ta geovt h,w,ezunny we ad helto goo napicnic
Tom and Mary said that they didn't really feel like doing that.,to man tmal ysaid dha tt heydid mtr e all yf eel  likedoingthad,to mamdmar yimsistet th ey wo ul dnddothad,
Tom and I are now dating each other.,tom am di are nowt ati ngeach odhel  domam tna ryare,to mamt  ihav ebroke nub,do ged herri ghtnow
Maybe Tom doesn't know who can sing well and who can't.,m  aype tomtoesn t kn owwh ocamsim  gw ellandwhoca mt,,to nco ul dmdh aveknownthat
I'm sure all of you know Berber.,i msule ar lo fyou gnowp elber,id on dsbea kberberth adwerr ,igmowdhatyoua lel  earni n gloj bam
I'm always thinking about you.,im alw ay sthi mkimgabout,i always t himkabou tid,you
My mom told me that I'm fat.,nymother sca r lingme nyn o mt oldnethad,,i  mfa t
I'd never done it before.,itmefer  toneid be vol e,,i  vene verdomethadnoteve n om ce
You'll be laughed at if you do that.,you llb ela ughe dadi  vy oudothat,you llp e invit z whenyou h eal thisjoge,yo u looklike yo urehes it  anttotothad
Tom and Mary don't want to become teachers.,to mantmar ydo m twantt obe come teachers,t om andma r yare  ntwil linktodow hatw  ewantthen  todo,ith ingto man dm aryd o n twantdod  odh  adrightnow
"Tom, could you come into my office?",co net oo do mcoul d you conei nton yoffice,can ton,d onrush edoudo  vhiz office
Tom and Mary did something I never thought they'd do.,do m antmalydidzo   methi m kine ferdhou,t omandma lym ate uptheir min d  snottodo d hat,ghdth eytto  tonan
"""Could I get uhhhhhh... burger?"" ""Sir, we don't sell burgers here.""",  pu  rger sirw edontsell burgelzhele  limami ss edziri, coultig etuhh hhhh,sneat wh atdoyoun e a nfolgetit
Is this product available in Algeria?,ist hisproductaf ail apreinal ker ia  doyouriv einal ge li,t otheylif  einal geria,a
Greed and fear of loss are the roots that lead to the tree of evil.,gr ee dant  fearo v ro ssale ther oodztha tle ad t othetre eofevir  my tr eeloogszic gwh ats wlo ngwith it,vealshan eand kuirt a reefv e ctifemea nz ofmanipuladingpe ople,
Algeria and Morocco could become North Africa's economic powerhouses.,ouldbec o me mordhafric a seconomicpowerhou ses  can algel iaachief epiggerec,algeriaand noroccoc ,onomicgr owth
Tom isn't sure what's going to happen.,id o ntd h imgt onexp ectetdhattohabpen ton isnd zurew ha ts going tohappen,,tomt oe sndye t kno wwhadhelld o
"Muslim men are allowed marry Christian and Jewish women. If your wife is Christian or Jewish, how would you hate her in the first place?",yle doings omet himkthad snotmoralryacce p d ableinizram nuz limn e narear rowed na r rychlis tiam  amdj e  wish wonemivy o ulwife ischr iztiamoljewish   howwoultyouh atehel  inthefirstprace,muslinszhouldnot ap us e homo sexu arsevent houghthe,he rbio lokicalfa theriznu slin
Tom looks like he's lost a lot of weight.,tol oses ome weikht to nl oo kzli geheslo z ta lo,tomm eets,tovweigh t
You're not going to infect me with an illness that doesn't exist.,you le n odgo in ktoimf e ctnewi dhani lrnessth a,i hop e thati dond  cad chacort,tdoes ntexist
I'm not obsessed with money.,b z ezsedw idhnom ey  iton tha ve dh emo n,imnodo,e yto buyacal
Tom seemed a little disappointed.,tomse e me daridtledi zapbointed  tonloogsa litt,domtidmt se ent oodisapp oimted,l ed epreszet
I'm willing to help – within reason.,imwil lim gtohel b–withi n  leasom  imk o,wewa mtt ohelpyo ub ec aus eyou dezelf eit, ing doge
She was tricked into doing it.,shewast rick edi ntod oinkit ,sh ewas b unis hedfol toingdhat,shed evo tedhe rzelftoh in
"You knew I was going to kiss Tom, didn't you?",you gne w iw asgoim  gtok  izs tomdidndyou,i hatmoide at hat youk newd on ,d itnt youknowth  atd o nanti ofde ms ingdokedhel
Ziri exchanged his bill for change.,eafletdol ima s il iexchankedhis bill forch ange,zili z howed thel,s iliresigne dov erthat
Tom said that he plans to stay until Monday.,to msa idt hathepla nst o stayumdilmond  ay  to msaystha,tomsa ith edit ntpl  a nongoing  dhisweek,thel lcome tomo lrow
He watched a Swedish movie.,t ched azwedi zhmof ie  t hepro tovth,hewa,e noviedage sb lace inasibel iamcou ntl yzite
Tom and Mary say they're not happy.,bby aboutdh is tomand nar yzay they l enot hapb,it ort you t omandnarywe l ent goinktob eha,y
Trust me. You can do anything... but you can't do anything well.,tlus tm eyou c an toan ything butyouca mtd  oanydhi ngwe ll,,an yof you cant o it
That's a cheap store.,t hatsa che absdo  le,thisbag isexpen s ive,
This is a big decision.,neofdhemosdi mporta ntd ec isionsy oullevelhave tomage th isi sab igdeci ,th iswillbl obabl ype o,sion
I wish my wife was as good a cook as yours.,iw ish myw if  ewaza sgoo tac  oo kazy ours,,youream excelle mtco og
Tom isn't as mad as Mary is.,ton is nt azm  ad  asnaryis,do misti cklizh pudma ryizn t,
Tom and Mary said they didn't think John did that.,d t  heyditmd d hinkjohntidthad  t,d omamd ma ly zai,omam d ma ryza ittheydo n tminddoi ng thatfor john
Doesn't Tom trust us?,d oezmdtomdruz d us,doyou kmo wwhydomd  oesn  t drusdyou,idon tthi ngt oniz comfi demd
"Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip.",d hro ughout dhefiv eyea rso  fbaimvulcancer tr eadm en tzheman  agedtokeepa st,tonsu fveredfrom pon ecamc el, iffubperrib
Please just get out of my way., ed out  ovn  yway,pleasejustk,z dopgan gimku po nme
Tom went to the casino.,t o mw enttodheca sino,tonend eredthe bang ,tomrip betu pthech e que
That water is a little salty.,thatw  at erisa litd lesar dy,,t hiswa teri zmo tcold
I want you to give me some advice.,w am tyou tok ivem ezomead v ice  p leaset,i,erl me wha tyouwan tm etodo
"A big ship, like a large airplane, has an enormous reynolds number; airships and low-mass submersibles are quite different.",hehazaralg e tr ucg a bi gzhiplikealalg eairpl  anehaza nenormou  sleyn oldsnu m ber airz hipsant lowm,,asssu bmer ziblesa r equitetifverend
I didn't have all my stuff.,ididn  t havea rrnys d  uvv,itit ndbuy eve rydhi nkyou  a skedm etobuy,
Sami and Layla ended up breaking up.,zamiandray la wen tahe adwit hativorce sanian draylae ndedup br eak  ingup,,san i amd laylawer eno lonkeltokedh er
Mum plays tennis.,i rig etopl ayt enmiz mumbla ys ,,dennis
He only cares about himself.,on lycare sab oud himzelf  he has,he,hisow nprob rems
I thought that Tom was bored., ughtdhadd onw azpo red  it h imk th atdonizbus y,i tho,
Sami is sitting in jail.,sa mi issitt ingimjair ,zamiwa strapped ins ide,sam ii snowi  naco ma
Sami was sexting Layla.,sa miwaz sexdingl ayla,s anibi cgedonlay la,za mitookdhadvr om lay la
There's fresh bread and water here.,hbr e adamdwatelhele  ipoughd vres h plead,th e lesf rez,
Gentlemen NEVER snatch things from ladies . . . or forget to say thank you . . . or pull anybody's hair.,f ealittle dha mks gend r e mennever sn a tc hd himg sfron raties    olfolkett  oza ytha ng yo uorpurlan ybodyshai,w hytontyou gi veyou rwi,l
Benedito's salad is a great way to use up leftover roasted vegetables.,ronhispr ands pe n edi to szal atis akrea twayt ouzeu p r,b enedidoharfestedfe getable sf,evdovelroazd edvegedables
Is it hot in Boston now?,zsumn el i sitho t i npostom no,are mtyou goi ngtob einpo sdo ndhi,w
She played music.,nu sic shepl ayed,ic amplay, muzic
Do you go by train or car?,iwi lldagee ith erbu s o rtraim toy o u gobyd  rai nolcar,,areyoudr if ink
Thank you for releasing me from my shackles.,thankyou forrele a sinkn ef r omnyshack les,iap preci adeyo ulcandol,dha nks vo rboindi ngdhato udd ome
Tom likes to kill frogs.,doml i gesd ogi,tomiskoodatim it a tinkd hecroa  gingo f flogs,l lfrogs
Tom couldn't make it.,to n wou r dm tbeabl etotothat t omcouldndm ,,age id
"If he doesn't accept the job, some other person will.",ivh ed o esn tacc ebdt hejopz o meotherpers o nwirr,,hep loni zed no dtodothat an yn ore
How do I know that you're not lying to me right now?,how doi kno wt haty our  eno dly,wha t caniterl yo ua pou dmyzelfdha ty oud omdal rea dykmow,i  mgtome lighdnow
He's a jerk who preys on other women.,e zaj el kw hobleyso n othelw onen  hesz uc hawim p,h,
Tom should've done that long ago.,zt p ekett imguz etdod oing dh izbynow tomsho ur dve tonethatro nka,d ommu,go 
She closed the curtains.,she clo setd hecurdains  s h epu,zomeonecl osedhewin dow s,th er hea toudofthe wimdow
Igor got lost in the wilderness in the dark.,iko rkot rost imthewilt  ernezz imthe  dark,gus ta vog otrost i ndhemamziom,ik olsg erm amsh epheltwasru nmingaway
The first will be the last.,thefil s tw ilr bethe rasd,may bethatwa st helas  tone,h ewo uldp  ethe lastp ersomt obetray otherz
She's in the library all day long.,zhezin ther ib rarya  llt aylon g,irr seeyouadt hel ib r arytom orlow,
Sami is going back upstairs., m iisgoi nk packupzdairs  saniwalk et behin dme,sa,
We knew that Tom would win., egnewt haddo mwou lt win  tom ber ievezt had hecanwim,w,
This website is useless.,t his we bsiteisusele zz,,ourwep zite isof vline
I hope this is a good list.,ihobe thi z isagoo d rizt ,p le asetakeny nameoffth e liz t,h er nameshoultha fe bee nont herizt 
Tom won't return my calls.,t on said h edc alrmelight pacg tom wontr edurmm ycarl s,,iti tn tkmowt  om wouldco mepacg
"Sleeping in your car is like camping, sort of.",s reepi ngi nyou r cali  srige campingsoldof,ido n dri keca m pimgtoyoul ig ecamping,iu z edt ogo cam  pingalot
Bring Tom here.,g domher e  getofe,brin,rh e lerightm ow tom
Have you found anything yet?,hafey oufounda n yth inkyed,hafeyoudisc ov er  edanydhingmew,hafeyou te sded i tyet
I looked over the documents., edov erdhe documemt s  i di,iloog,dmds ignthadd ocument
His hobby is painting pictures of flowers.,hishobpyi zpaim t inkp icduresof vlow ers  zhesa ystha t shel ,dheysben dallo fdheir tim epa i mding,ovesvlow ers
What decided the end of the Roman Empire?,w ha t tecitedth ee ntoftheron a nem  pile,w hadwaste cided,
Mary has decided to try to do that by herself.,ryist oimgth atbyher z erf ma ryhasdec ide dt otrytod oth  ,ma,at b yhelserf
None of what's happening today has anything to do with me.,n om eof whadsha bbe m inkto dayha sanyth i mk totowithme,,what ef erha thappe ned int hebazt wasnowirreleva nt
Mennad was revising for his exams.,ne nmadwas reviz i mgvorhi sexam  z,n e mna tisgonnata gethe test,
"Hate mail often contains exceptionally abusive, foul or otherwise hurtful language.",hatemairoft encom taimsex c eptio narlyabusiv e fourorodherwiseh,inmanyemglishw o rtsth eleal el etters dhadar en  tpronoumcet,urt ful ram guake  ardhoughid
Yanni was mocking his teachers.,yanni wasm ocg inghiztea chers,yanm iwash afin  gamozebleet,yanmiwa sbunishet for speedi mk
Everyone has domestic troubles from time to time.,ev eryo nehas dome stictr oublezfro ndim  etotime,,ev erybodyvee lsadh omew i dhhim
We can't stay here.,camt sday he le  c am pod hof ussda yhere,we,
The primary means of communication for cats is body language.,t hebrimarymeans o fcomnuni cati on volcatsispo dy lam guag  e,english izapasicto olforin de lmationa rconnumic atio m,
The context is important.,secrec yisinpo ltant th ecomte x dis,,imbortamt
"This is my friend, Skura.",thisism yvri en dzkur a,s he isnycla ssnade,yannibe can ereacqua i ntetwitham ol dvriend skura
You're as tall as your father.,you rv adhe rizbretd ytarl yourea stallasy  ourfa ,, ther
Somebody hit me.,isqu ees edone sonepo dy hitne,,zomepotykil le dhim
My sock has a hole in it.,nyam k leizzworl en m yzo ck haza ho lein it,,my p amt shas alo to vlind
I think Tom and Mary need a ride to the airport.,id h imktonamd mary   needalid  eto the air  port,isuspe ctd oma nd m aryhavetol e ave,
"Edmundo told Rima, too.",dtogl abrima ednun to tord,ednu ntotrie,lim atoo
No one's answering the phone.,nesamzwer ink th epho ne  youge to neph onecalr,noo,
Don't laugh at him.,do mtlauk ha dhim,to ndr aughyet,he ditn dsmile
I saw Tom and Mary looking at themselves in the mirror.,to na mtmarygla mc eddo the irrevd isaw to mandna lyloo  gi ng ad dhe mselvesi,,nt henirror
I always end up looking up the same words in the dictionary.,ial waysenduplo o g imgu pthesam ewor dzin t he dicdi o,i wand tohavedh izd iction  a rynosd ofalr,nary
I didn't get my wish.,ididn dg et my wi,icourtn tget wh ath  ewanted,zh
He drove to work.,h edrofed o wor,z hego thimto d live,k  h
"""Duke Onkled, it's tax season! You are under a ton of taxes!"" ""Don't hurt me, taxes! Please! I'll pay you this key!"" ""Acceptable enough. Now go away!""",zo nd imey oucamleaveifyouw ant d ug eon k leti tzt axse ason you al eunde  rato novdaxes tonthur tnet  axesplea  z e illp ayyouthi skeyacc epta plee moukhnowgoaway,y ouvep aidyourt axe,ohboy  alsayib sigh ed wel rhownu ch  doy ou need ivekot aboud10 gr andj ustsitt i mgin  myoffzhoreaccount
"By the time Mariner 2 approached Venus, one of its solar arrays had failed and the vehicle came dangerously close to overheating, but it remained healthy enough to complete its scientific mission.",e dimemarinel2a pp ro achedv emuson e ofitzsol ara   lray  sha dvailetamdtheve hi crecame   tamgerousl ycros edoofe r he atingb udidlemainethea lth yenou ghtocompreteitssciemtific nizsion,b yth ,the twoovth emko tov f d hebusand warke d ani leint   he hotsun shine
What we owned in those days could fit into a shoebox.,utth eol dtayz wh atwe o wne t inthosedayz couldf itim t o azhoepox,welenin izcedapo,m ys hoe race hazz n abbedill b ewithy ouim atick
The initiative measurably improved quality of life for the villagers.,lzisb ettert h amten year sagoi mma nyways theinidiativemeasurapry imp r ovedqu alit yo flivevolth e villag els,e,dhep obul ad iono  vthevillag  edropb etbyadhirt
Our website is offline.,th is webziteisuse less ou rwebsite isoffl ,,ine
He found out about it on his own.,md out abo utitomhis o wn  heg,hev ou ,new zhe couldmdt ot hatbyher serf
Everyone knew that Tom was unhappy.,evelyon ek nowswho kirl etton ev elyomekne wtha ddomwa sun ha,,ppy
The United States is the largest producer of cheese in the world.,ce isthemosdfisidetc oumtl yin the worl d theunited st ate zisthela rke zt plo tuce  ,flan,ro fcheesei mthewollt
Am I being sacked?,a nip eimksack  e,amih orr ible,d
John started to cry in the middle of the street and people started staring and pointing.,j o hnztarde dtocryin them  itdle o ft hezdl ee dan tbeoplesdart  e dsdaringandp oimt ing,j ohnlo okedinto jezz icaz eyesa n dhea lmost tlownimd hem agaim,
Why's this so small?,wh yi zitrige th at whyzdh issosm ,, alr
That's just the thing I had in mind!,h atsju st thethimg ih atin nimt  guezz wha ts onmy nind,d ,
"Lorenzo sat in the car for a good half hour, talking on the phone.",lo renso sad inthe ca rforakoo tha  lfho,rorens okotp acgto hi z sead,ur tal   k ingondhebhone
People used to have LAN parties for multiplayer gaming before the widespread availability of high-speed Internet access.,peopl euse dtohaverampaldiesvor nurdiplayel gam in g befoled he wi dezpleatafai labilid yofhighsbeedim t e rned accezs  a lke liahazalap,efen viteoka nen achineso wnedby no sdchi rdren  todayarecompuders,idrygrowimgpobulati om
"For God's sake, what happened?",thishappen ink volgodz sak ew hadhabp e,whato nea r,net
I just don't feel that way about her.,ijusd domt v eel that wayap ou d,ididn tfee lli keca rl imgher,her  h eju
I have nothing more important to say.,him kmoleimp ordandt osay,ih av e not,no mo leca nbesa id
He was cast as Hamlet.,hewa zcas t asham led,hewadche ta swedishn o fie,nennat wa samam  asingrolemo tel
Have you asked Tom and Mary why they didn't do that?,h af eyoua sked domand marywhyt h ey  d it n ttothat,aleyo upramn  in ktod e  rltomant mar ywhyy o uwantthe ndo  tothat,
Tom said that he didn't mind doing that at all.,toms ait th athe di tmd nin dtoimg  dhatatal  l,do nz  aidd h athewazfelyh e zit amddod odhad,
She pricked herself with a needle while embroidering.,shebric ged hers elvw ithameedl ewhi leenb loide  ring,ma rypur ledou therknit dinkme etles,
How large are they?,how lalkear edh ey  w hadisth ewitt ho vdh i ,howp i gisyourva nil y,ssdreet
French is spoken in France.,e a llsbeakv remch flenchi zspokem im vl ance,w,weto ndsp ea kvlemch
My parents never punished me for anything I did.,m y parendsnever b un izhed me folanythim g idid,,ny m odhelneverpumishe sm e
We expect sales to rise this quarter.,e xpecdsal est ori ze  thisquartel  irrw a itumdilf o uroclock,we,
"If Tom and Mary don't want me to do that, I won't.",ivtom a nd nary t ont  wandne tod othati   w ont,doma m dmaryimsisteddh ey  wourd mdtodhat ,
I think that Tom is unprejudiced.,ith ingthat do miz unplejud iced,id hink th attonw oultbe u nvazed  bythat,i dh in ktomwouldbeastoniz h ed
Tom has a good chance of getting elected.,t onhazpl entyovop t ioms do nh asagoo t cha mce ovgetdin,,ge lectet
